Episode 84/200, Total Reward: 48.87994014822844
Episode 85/200, Total Reward: 46.13992345440426
Episode 86/200, Total Reward: 47.46519762695975
Episode 87/200, Total Reward: 48.17830021388341
Episode 88/200, Total Reward: 47.16682844704031
Episode 89/200, Total Reward: 44.39357390415889
Episode 90/200, Total Reward: 47.47725528641197
Episode 91/200, Total Reward: 46.70131292144281
Episode 92/200, Total Reward: 48.83469015367984
Episode 93/200, Total Reward: 46.00915335115036
Episode 94/200, Total Reward: 44.4662702380159
Episode 95/200, Total Reward: 48.37553717450773
Episode 96/200, Total Reward: 49.28381157516408
Episode 97/200, Total Reward: 45.342710675647986
Episode 98/200, Total Reward: 47.925996559399486
Episode 99/200, Total Reward: 46.897384446482164
Episode 100/200, Total Reward: 48.11941536483166
Episode 101/200, Total Reward: 47.73103020363793
Episode 102/200, Total Reward: 46.568766743090045
Episode 103/200, Total Reward: 44.12576028249398
Episode 104/200, Total Reward: 46.760271371767324
Episode 105/200, Total Reward: 46.08832760040199
Episode 106/200, Total Reward: 44.70806682844193
Episode 107/200, Total Reward: 47.877980423173376
Episode 108/200, Total Reward: 48.54640641995124
Episode 109/200, Total Reward: 45.59064300778926
Episode 110/200, Total Reward: 46.8138771407061
Episode 111/200, Total Reward: 47.29105981928842
Episode 112/200, Total Reward: 48.68346987137939
Episode 113/200, Total Reward: 45.79940236172932
Episode 114/200, Total Reward: 46.65532088581499
Episode 115/200, Total Reward: 47.68307960400035
Episode 116/200, Total Reward: 48.9482602120598
Episode 117/200, Total Reward: 45.31652969215855
Episode 118/200, Total Reward: 47.98976482343435
Episode 119/200, Total Reward: 48.49535305268182
Episode 120/200, Total Reward: 47.529848890093355
Episode 121/200, Total Reward: 47.82802321335017
Episode 122/200, Total Reward: 46.18748167630696
Episode 123/200, Total Reward: 45.886095508103665
Episode 124/200, Total Reward: 48.335117841787245
Episode 125/200, Total Reward: 47.02087829850912
Episode 126/200, Total Reward: 48.20877074765063
Episode 127/200, Total Reward: 45.37169764337253
Episode 128/200, Total Reward: 48.570815578461236
Episode 129/200, Total Reward: 48.48501226938677
Episode 130/200, Total Reward: 43.0379635311073
Episode 131/200, Total Reward: 48.605187794654746
Episode 132/200, Total Reward: 46.75838943019915
Episode 133/200, Total Reward: 47.58904383578701
Episode 134/200, Total Reward: 47.094986710806815
Episode 135/200, Total Reward: 48.75473299503429
Episode 136/200, Total Reward: 46.482565021778285
Episode 137/200, Total Reward: 45.103046332585265
Episode 138/200, Total Reward: 47.10036097043799
Episode 139/200, Total Reward: 49.013979278331675
Episode 140/200, Total Reward: 47.879114666905004
Episode 141/200, Total Reward: 49.42936470392861
Episode 142/200, Total Reward: 49.31958433750738
Episode 143/200, Total Reward: 45.98192527971691
Episode 144/200, Total Reward: 48.452999924159016
Episode 145/200, Total Reward: 47.163716509811664
Episode 146/200, Total Reward: 47.14684582283426
Episode 147/200, Total Reward: 46.11538120235242
Episode 148/200, Total Reward: 43.37564939671892
Episode 149/200, Total Reward: 45.67406175110533
Episode 150/200, Total Reward: 48.48396999261848
Episode 151/200, Total Reward: 47.491703458264325
Episode 152/200, Total Reward: 49.55847355643725
Episode 153/200, Total Reward: 46.147823841559486
Episode 154/200, Total Reward: 46.182970937412605
Episode 155/200, Total Reward: 48.85783365195927
Episode 156/200, Total Reward: 48.53165772796032
Episode 157/200, Total Reward: 44.45051672832434
Episode 158/200, Total Reward: 48.26015312799886
Episode 159/200, Total Reward: 49.66784588728517
Episode 160/200, Total Reward: 46.270518648227565
Episode 161/200, Total Reward: 47.360055122961555
Episode 162/200, Total Reward: 49.58054796944512
Episode 163/200, Total Reward: 46.5826160959965
Episode 164/200, Total Reward: 48.76993193879292
Episode 165/200, Total Reward: 46.49788361203877
Episode 166/200, Total Reward: 47.141774732249
Episode 167/200, Total Reward: 49.09897071162758
Episode 168/200, Total Reward: 46.54373201236447
Episode 169/200, Total Reward: 44.061448865684255
Episode 170/200, Total Reward: 48.704408407577354
Episode 171/200, Total Reward: 47.91502420325875
Episode 172/200, Total Reward: 46.82246980983321
Episode 173/200, Total Reward: 48.1245844158387
Episode 174/200, Total Reward: 49.38447730362441
Episode 175/200, Total Reward: 47.3698926850492
Episode 176/200, Total Reward: 48.406142683553384
Episode 177/200, Total Reward: 44.24629829346168
Episode 178/200, Total Reward: 48.36910192122537
Episode 179/200, Total Reward: 46.3692776257706
Episode 180/200, Total Reward: 46.684771025956564
Episode 181/200, Total Reward: 48.21087521564577
Episode 182/200, Total Reward: 42.18477879518686
Episode 183/200, Total Reward: 48.70318216430818
Episode 184/200, Total Reward: 47.30436386976672
Episode 185/200, Total Reward: 47.83736532201879
Episode 186/200, Total Reward: 48.1492368423583
Episode 187/200, Total Reward: 45.95742034404662
Episode 188/200, Total Reward: 48.033964831130646
Episode 189/200, Total Reward: 47.96395803561495
Episode 190/200, Total Reward: 47.536306734855025
Episode 191/200, Total Reward: 49.37867218190056
Episode 192/200, Total Reward: 48.43223615306458
Episode 193/200, Total Reward: 48.28184708424246
Episode 194/200, Total Reward: 49.2497956386815
Episode 195/200, Total Reward: 49.01895098042744
Episode 196/200, Total Reward: 47.196129748642136
Episode 197/200, Total Reward: 47.42214489338712
Episode 198/200, Total Reward: 45.4511311165229
Episode 199/200, Total Reward: 48.56619634814685
Episode 200/200, Total Reward: 44.567600856008035
